"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "Diff", "JSON", "TypeScript", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\backend\scripts\add-recovery-tokens-table.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 58
"c:\Users\codye\forge\backend\scripts\add-rename-move-support.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 115
"c:\Users\codye\forge\backend\scripts\check-comments.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\codye\forge\backend\scripts\check-schema.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\codye\forge\backend\scripts\check-users.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\codye\forge\backend\scripts\create-follows-table.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 41
"c:\Users\codye\forge\backend\scripts\create-forum-tables.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 77
"c:\Users\codye\forge\backend\scripts\create-verification-tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 10, 8, 63
"c:\Users\codye\forge\backend\scripts\create-waitlist-tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 7, 7, 53
"c:\Users\codye\forge\backend\scripts\debug-file.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 55
"c:\Users\codye\forge\backend\scripts\fix-uploaded-filenames.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 42
"c:\Users\codye\forge\backend\scripts\force_all_previews_work.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 47
"c:\Users\codye\forge\backend\scripts\generate-existing-thumbnails.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 123
"c:\Users\codye\forge\backend\scripts\generate-missing-thumbnails.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 69
"c:\Users\codye\forge\backend\scripts\grant-admin.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 67
"c:\Users\codye\forge\backend\scripts\migrate-existing-projects-to-versions.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 84
"c:\Users\codye\forge\backend\scripts\migrate-nested-folders.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 111
