"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Markdown", "XML", "PostCSS", "Diff", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/backend/api/thumbnails/[file].ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 11, 17, 87
"/Users/user/Documents/BlueprintCAD/backend/api/thumbnails/generate.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 12, 16, 90
"/Users/user/Documents/BlueprintCAD/backend/api/upload.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 137
"/Users/user/Documents/BlueprintCAD/backend/api/users/[username]/follow.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 91
"/Users/user/Documents/BlueprintCAD/backend/api/users/[username]/followers.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 119
"/Users/user/Documents/BlueprintCAD/backend/api/users/[username]/following.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 120
"/Users/user/Documents/BlueprintCAD/backend/api/users/[username]/index.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 112
"/Users/user/Documents/BlueprintCAD/backend/api/users/banner/[file].ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 9, 42
"/Users/user/Documents/BlueprintCAD/backend/api/users/check-pending.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 37
"/Users/user/Documents/BlueprintCAD/backend/api/users/follow-request.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 81
"/Users/user/Documents/BlueprintCAD/backend/api/users/follow-requests.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"/Users/user/Documents/BlueprintCAD/backend/api/users/follow.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 61
"/Users/user/Documents/BlueprintCAD/backend/api/users/profile-picture/[file].ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 8, 41
"/Users/user/Documents/BlueprintCAD/backend/api/users/profile.ts", "TypeScript", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 20, 33, 220
"/Users/user/Documents/BlueprintCAD/backend/api/users/search.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 7, 33
"/Users/user/Documents/BlueprintCAD/backend/api/users/update-privacy.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 38
"/Users/user/Documents/BlueprintCAD/backend/lib/auth.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 41
"/Users/user/Documents/BlueprintCAD/backend/lib/cad-formats.js", "JavaScript", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 25, 330
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/annotation-styles.ts", "TypeScript", 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 52, 62, 459
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/assembly-system.ts", "TypeScript", 0, 0, 600, 0, 0, 0, 0, 0, 0, 0, 135, 133, 868
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/bom-exporters.ts", "TypeScript", 0, 0, 536, 0, 0, 0, 0, 0, 0, 0, 58, 102, 696
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/bom-generator.ts", "TypeScript", 0, 0, 374, 0, 0, 0, 0, 0, 0, 0, 75, 54, 503
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 66, 300
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/boolean.ts", "TypeScript", 0, 0, 499, 0, 0, 0, 0, 0, 0, 0, 142, 126, 767
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/fillet-chamfer.ts", "TypeScript", 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 131, 113, 638
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/occt.ts", "TypeScript", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 71, 56, 414
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/opencascade.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/operations.test.ts", "TypeScript", 0, 0, 344, 0, 0, 0, 0, 0, 0, 0, 16, 93, 453
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/operations.ts", "TypeScript", 0, 0, 382, 0, 0, 0, 0, 0, 0, 0, 180, 102, 664
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/preview.ts", "TypeScript", 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 50, 63, 401
"/Users/user/Documents/BlueprintCAD/backend/lib/cad/brep/topology.ts", "TypeScript", 0, 0, 575, 0, 0, 0, 0, 0, 0, 0, 162, 101, 838
